MU_1;MU_2;MU_3;MU_4;MU_5;MU_6
-0.0012443366160052017;-0.002546601706910321;0.0016059320446840525;0.024398627990747088;0.003721713626335332;0.020471407492974304
-0.0012844114379235926;-0.002643130980715355;0.001642182220575109;0.025068296489767876;0.003940498478397718;0.021116946540126223
-0.0013040865628194034;-0.0027221438543581626;0.0016674210764464194;0.02556773841508233;0.004137305422463013;0.021628270536392182
-0.0013033261198348086;-0.002783960579571033;0.0016825174187771277;0.025906646376824934;0.004311320902977312;0.022012107147001695
-0.0012840155286544324;-0.0028293447492804807;0.0016887260669123066;0.02609443746954812;0.004461748073369114;0.022275523190871588
-0.0012483343670625982;-0.002859048589923005;0.0016872606056382048;0.026140474113530435;0.0045877184168392985;0.022425266268226468
-0.001198125095374134;-0.0028736566656234496;0.0016791322181485416;0.02605423508458894;0.004688311270363586;0.022467618945833285
-0.0011353263609548225;-0.0028737259893987775;0.0016652591234634227;0.02584520228113925;0.004762648191569243;0.022408602496987385
-0.001062225224649573;-0.002859869873661731;0.0016465284922452677;0.025522715791761498;0.004809960871381588;0.022254062410598817
-0.0009812244458216773;-0.0028327083852979305;0.0016237389600921273;0.02509595619706337;0.004829623123026596;0.022009603041210628
-0.0008946515029656453;-0.002792834381306516;0.0015975584881000112;0.02457395341267097;0.004821188706721362;0.021680571977421327
-0.0008047933979106112;-0.0027408424372790366;0.001568541779024746;0.023965540787932258;0.004784440950438923;0.021272123752608608
-0.0007139262284179854;-0.0026773543693762894;0.0015371477297937087;0.023279296641365747;0.004719433593392701;0.020789270491366633
-0.0006242392882256705;-0.002603014512456519;0.001503732289066939;0.0225235148400442;0.004626517255983673;0.020236898083237264
-0.0005377566750707837;-0.0025184838005471773;0.0014685429461865145;0.021706188033120258;0.004506359560548526;0.019619788301087224
-0.0004563116212612511;-0.002424446951695635;0.0014317280463892043;0.020834983460607234;0.004359961038013584;0.018942658099487468
-0.00038153023631761667;-0.002321619903183393;0.001393349343152098;0.019917218107105086;0.004188662426849242;0.0182101964011325
-0.00031479709762599926;-0.002210749782346981;0.0013533905922835866;0.01895984337378224;0.003994141563968767;0.017427090343676996
-0.00025722223864676775;-0.0020926128065357173;0.0013117668408172253;0.017969436963393752;0.003778401581626893;0.016598048304959784
-0.00020962466981484324;-0.001968014003587998;0.0012683377325017795;0.016952197128798682;0.0035437514288775;0.01572782267921582
-0.00017252500129745913;-0.0018377864348982547;0.0012229224579671282;0.015913939997146995;0.0032927783298835624;0.014821228028060183
-0.00014614010896941024;-0.0017027879357259226;0.0011753141836757899;0.01486010212595342;0.0030283123055362374;0.013883151944248023
-0.00013038317908728545;-0.001563896363936308;0.001125294447475651;0.01379574782011842;0.0027533838446920046;0.012918559714555628
-0.00012487276196877258;-0.0014220044307815083;0.0010726480697262515;0.012725579779612318;0.002471175882639338;0.011932493522643087
-0.00012894938608501804;-0.001278013830851062;0.0010171778827598548;0.011653952715488603;0.002184971023634617;0.010930065377066771
-0.00014169758593423674;-0.001132828294180217;0.0009587184756446833;0.010584890005488817;0.0018980950882733015;0.009916443242689995
-0.00016197331747675752;-0.0009873458562448816;0.0008971487438011958;0.009522102914443182;0.0016138583306876991;0.00889683083861626
-0.0001884369994681276;-0.0008424507639273763;0.000832403149684074;0.008469011604864378;0.0013354957353941142;0.007876441729944342
-0.0002195912553061806;-0.0006990051313007662;0.0007644813732702707;0.007428767353246138;0.0010661077677640303;0.006860468122441512
-0.0002538220645709869;-0.0005578403867412789;0.0006934560130060469;0.006404275513211247;0.0008086029528425111;0.005854044895307171
