MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13;MU_14;MU_15
0.0005625414967093364;-0.001543620800795139;-5.226810533942853e-05;0.00032074584245227796;0.0008871852123338997;-0.000505988584847898;2.1501153483261907e-05;-0.00039465627012794205;-0.0005551675435747607;-0.00045890048067349947;-0.0003431829349758659;-0.0003055847445017909;-0.0005405013783939295;-0.0009515822044822559;-0.0002214778856311442
0.0005191275767488721;-0.0013363393939963611;3.2325888390864893e-06;0.000332158344666574;0.0009450101526010711;-0.00042083459997666755;-8.414578892637056e-05;-0.0004265058933247175;-0.0006464729870191075;-0.0005566228106116096;-0.00040590935294283016;-0.00026881299683142497;-0.0005712005064656871;-0.00089067416847008;-8.246632286628618e-05
0.00046321647248956995;-0.0010992564249832457;6.116540070555397e-05;0.0003372559722046679;0.000982564840012384;-0.0003294550064153288;-0.00018959286478031348;-0.00044971342348753917;-0.0007291001866399877;-0.0006378713678415277;-0.00046016825709527;-0.00022868472694795793;-0.0006099917092361564;-0.000815784023560539;7.61561710705791e-05
0.0003960694614820706;-0.0008378229428753322;0.00012040082710379972;0.00033605611860829094;0.0009989124123949147;-0.0002341048778820825;-0.00029236231464379903;-0.0004635051303238489;-0.0008008208538941265;-0.0007007809178319782;-0.000504514329816503;-0.00018621011412026138;-0.000656413174195882;-0.0007290480637892238;0.0002507641014466732
0.0003192190861408203;-0.000558089570008119;0.00017977750417339847;0.0003287280004165668;0.0009936106130341634;-0.0001371440497333835;-0.00039002565244956986;-0.00046732083729670063;-0.0008596412037958861;-0.0007439146081528867;-0.0005377242436578407;-0.00014245952116723735;-0.000709808553539743;-0.000632898681170006;0.0004373194897527474
0.0002344344542061114;-0.0002665670682414972;0.00023812931650035577;0.0003155893960204531;0.0009667247026994883;-4.09824343240041e-05;-0.0004802612303458579;-0.0004608285920063817;-0.0009038505628364301;-0.0007662994536583511;-0.0005588269270277005;-9.853895765599534e-05;-0.0007693418069910686;-0.0005300095432935684;0.0006314648432453536
0.00014368078820898192;2.9924641811093275e-05;0.00029431275129537517;0.000297099862727087;0.0009188284857406915;5.197630466172532e-05;-0.0005609096250128606;-0.0004439335482867699;-0.000932063649378531;-0.0007674513341092127;-0.0005671278883933149;-5.556487655724981e-05;-0.0008340180080510115;-0.0004232355240857161;0.0008286245422613323
4.907414968553652e-05;0.0003244155186080602;0.00034723385951532286;0.00027385057567746746;0.0008509933644627114;0.00013939170895111629;-0.0006300254157475127;-0.0004167806353292866;-0.0009432551495106237;-0.0007473892489071532;-0.000562226770408651;-1.4638575732524168e-05;-0.0009027088283399535;-0.0003155479399512491;0.0010241119615088804
-4.716761578185406e-05;0.0006099487971841961;0.00039587419278921986;0.000246551015313212;0.0007647656193056593;0.00021904292611491985;-0.0006859239867935572;-0.00037975109908505565;-0.0009367853489757196;-0.000706638616703433;-0.0005440276018930962;2.3179696339015037e-05;-0.0009741801384322311;-0.00020996529323810264;0.0012132392168708156
-0.00014277657261284508;0.0008797449234822442;0.00043931510343404086;0.00021601280654918564;0.0006621323922967645;0.00028888300619604886;-0.0007272221546032109;-0.00033345363494510793;-0.0009124160143592424;-0.0006462231716913556;-0.0005127416733245918;5.689677953249707e-05;-0.001047118653774382;-0.00010948001264406867;0.0013914263467688886
-0.0002354878240466054;0.0011273621625718536;0.00047675982361807575;0.0001831310790499657;0.0005454771209477154;0.000347089135915062;-0.0007528717185224037;-0.0002787112773066959;-0.0008703164326585774;-0.0005676447025360417;-0.0004688834600440566;8.561220920373447e-05;-0.00112015558311285;-1.698289824984069e-05;0.001554307179564823
-0.00032309283822832234;0.0013468500674522126;0.000507552780662343;0.00014886377163463024;0.0004175254206295581;0.00039210668065726436;-0.0007621853864458358;-0.00021654511637093438;-0.0008110603167418046;-0.00047284985466470507;-0.00041326033907340345;0.00010854210801117655;-0.0011918880322522674;6.481111197023766e-05;0.0016978300672723671
-0.0004034917298064431;0.001532892139827044;0.0005311956622566849;0.00011420934565837968;0.00028128263941816945;0.0004226852886480442;-0.0007548548236310771;-0.000148155099609723;-0.0007356147884188032;-0.0003641838859074514;-0.0003469567503362312;0.00012503942029348705;-0.0012609025203731623;0.00013343054155110054;0.001818352704787252
-0.00047474327534345877;0.0016809342570011968;0.0005473598230424208;8.018340634790461e-05;0.00013996450585151775;0.0004379063990350543;-0.0007309606583322778;-7.489682843779076e-05;-0.0006453224416735489;-0.0002443327810081899;-0.0002713128588644;0.00013460848501756857;-0.0013258072556899712;0.0001867029337813759;0.0019127307429884202
-0.000535111480249105;0.0017872957767366207;0.0005558947238313621;4.779476248537617e-05;-3.0775444514510376e-06;0.0004372030276334049;-0.0006909740910376061;1.7478578417884315e-06;-0.0005418764286849808;-0.00011625713584669837;-0.00018789691340048446;0.0001369129341950009;-0.0013852782189577582;0.00022279560919112978;0.0019783991923858118
-0.0005831075723250694;0.0018492606509021145;0.000556832211134558;1.8021486805815963e-05;-0.00014443464302756737;0.0004203739533508491;-0.0006357493793843085;8.020860020515179e-05;-0.0004272869600175656;1.6877257286563465e-05;-9.84699290251181e-05;0.00013177796631988397;-0.001438117239079594;0.0002402441722428691;0.002013443548296037
