MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13;MU_14
-0.0004510302554058548;-0.00029157109529610333;-0.0010174183952274915;0.0014252178325070844;-0.00023545394784160734;-0.0005653238154354353;-0.000657530716407206;-0.0006468856226683615;-0.0010170133029340708;0.0009594096912245207;0.002063637125182152;0.0013052957681398633;0.0018733973432366324;-3.7824064226373564e-05
-0.0006640719838613025;-0.00033355544012381595;-0.0007091973941485043;0.0011918959252992288;-0.0001972532389944054;-0.0007474597901179288;-0.00045247347182470474;-0.0005582695579530436;-0.0008531482626523823;0.0007797846059595858;0.0017968204162150197;0.0011812047695305991;0.0017647453572946395;-0.000189946602674952
-0.0008588986929535057;-0.0003596569227280016;-0.0003982441875777431;0.0009321786588660908;-0.00016563924528875;-0.0009043330609689551;-0.00024620375946346614;-0.0004671098449301615;-0.0006966445026475863;0.0006021862542558726;0.0015223151476688953;0.001046037292713211;0.0016632929151965097;-0.000357956703836943
-0.0010319052406612594;-0.00037138664342063857;-8.747378236711195e-05;0.000651111700978365;-0.00014002810050948333;-0.0010354674008125177;-3.892353377577701e-05;-0.00037538625881458306;-0.0005526731614816322;0.00043342203797845473;0.0012468946790482496;0.0009013502793637011;0.0015744851204958768;-0.000539537682384668
-0.0011798781872110029;-0.00037047826739409996;0.00022001894608434557;0.0003544796097738887;-0.00011957988344284868;-0.0011407041134082856;0.00016826252815567154;-0.00028466889361904586;-0.00042408844985715677;0.0002780527947093172;0.000974660806140744;0.0007490318935471113;0.0015010076100144068;-0.0007314314430201951
-0.0013000836891962804;-0.00035886410269635806;0.0005210578463721064;4.865740372416659e-05;-0.00010321762180063336;-0.0012202367869937627;0.0003734376371127385;-0.00019610310830927736;-0.0003114723563421962;0.0001384027643890029;0.0007070937431309008;0.000591246904494238;0.0014428643232308087;-0.0009295503780621105
-0.0013903585010912362;-0.000338649051212724;0.0008124717394226848;-0.0002595988136835218;-8.97080592319365e-05;-0.001274670694682526;0.0005741633086876724;-0.00011053167804066268;-0.00021379979971435139;1.5185310157962066e-05;0.0004439378139321276;0.00043037841824900024;0.001398182939811956;-0.0011292578236169048
-0.001449190403294313;-0.00031207734219370183;0.0010911690148564712;-0.000563383733874752;-7.776632992926053e-05;-0.0013050770512825975;0.0007678305056071864;-2.866399032682028e-05;-0.00012931591799059277;-9.166205644347236e-05;0.00018436722214300248;0.0002689681908846479;0.001364265907038816;-0.0013257056276138825
-0.0014757764001458872;-0.00028148952963750454;0.0013542052066181991;-0.0008558615058346687;-6.614729501607429e-05;-0.0013130174655805221;0.0009519446603967252;4.879302023141779e-05;-5.6241186583067904e-05;-0.00018231489825980507;-7.209087005125032e-05;0.00010965530488919014;0.0013384345991850756;-0.0015141244713023883
-0.0014700532785256201;-0.00024927062797494386;0.0015988478570741467;-0.0011304520967638854;-5.3703621696975656e-05;-0.0013005289103132063;0.0011242837240846675;0.00012108470647683634;6.886874073745291e-06;-0.0002567600336410676;-0.0003251348192245601;-4.488804544932798e-05;0.0013184424035889597;-0.0016900141985218228
-0.0014327014661923883;-0.00021779277855700705;0.001822640298658707;-0.0013809843444397183;-3.941083221035994e-05;-0.0012700743385675602;0.0012829392112694979;0.0001874339973014261;6.121227567630556e-05;-0.0003148298677597171;-0.0005737348561552948;-0.0001920238982268684;0.0013024855849333614;-0.0018492386547805234
-0.0013651267999620546;-0.0001893566545619311;0.0020234630704646247;-0.0016018254105418523;-2.237224409327863e-05;-0.0012244720733250202;0.001426291639198876;0.00024710770014383667;0.00010774661160709367;-0.00035641933718366675;-0.0008164379015651287;-0.000329216575095668;0.0012889938181377583;-0.0019880645270623784
-0.001269425283033725;-0.00016613514401663286;0.002199589934823938;-0.001787997589780177;-1.8189835288734433e-06;-0.0011668171987142728;0.0015529759388680266;0.0002994852078572091;0.00014757218259636061;-0.0003817150492039613;-0.0010517000559988427;-0.00045409621861414764;0.0012764026815012806;-0.0021031890280070603
-0.0011483343081018945;-0.00015012150230212017;0.0023497352166072286;-0.001935288247331143;2.2885017061588875e-05;-0.001100403294921768;0.0016618715321279048;0.00034410437833006245;0.00018195247090627947;-0.0003913271370420566;-0.0012781016121521049;-0.0005645117345006208;0.0012630376276309234;-0.0021917854473454336
-0.0010051717788610384;-0.00014308294174894182;0.0024730900225498607;-0.002040351866519499;5.22307370523557e-05;-0.0010286470335575065;0.0017521246238241376;0.0003806779206642711;0.00021232332171581026;-0.00038629730093501;-0.0014944136466457933;-0.0006585697482521044;0.001247138649634251;-0.002251572753888432
-0.0008437632770574244;-0.00014651996792032027;0.002569346093400142;-0.0021007985179397805;8.65479050007689e-05;-0.0009550143110728485;0.0018231910056440166;0.00040908758899094953;0.0002401998172508832;-0.0003680176456305075;-0.0016995657576464828;-0.000734662365151475;0.001226979558166546;-0.0022808969846104124
-0.0006683572904886744;-0.00016163169414180862;0.002638707027182451;-0.002115261890067401;0.00012599038982377686;-0.0008829456648059525;0.0018748811174688444;0.0004293689554308644;0.00026705687430192063;-0.00033811736081714746;-0.0018925874469788923;-0.0007914936395276617;0.0012010073243176821;-0.0022788033564514532
-0.00048352926592752475;-0.0001892876070409881;0.0026818871586403183;-0.0020834416696267843;0.0001705274790740879;-0.0008157799674743699;0.001907392270937014;0.00044169777231672436;0.00029423241117988643;-0.00029836467460361864;-0.0020725725067278922;-0.0008281180265772545;0.0011679398199199865;-0.002245078957223658
-0.0002940763161921211;-0.00023000649892322662;0.002700098563353663;-0.0020061178870321816;0.0002199428552469203;-0.0007566774164232204;0.0019213197639822218;0.0004463835623805363;0.0003228775341593919;-0.00025060724114957527;-0.0022386761890868466;-0.0008439989142266631;0.0011267953200197482;-0.0021802541785573763
-0.00010490529639521546;-0.0002839433201152265;0.0026950266891357768;-0.0018851373516569011;0.00027384079852163577;-0.0007085444035393239;0.0019176444838618523;0.0004438704063570573;0.00035395386174815596;-0.00019675077653105423;-0.002390127270648533;-0.0008390800305190987;0.0010768646394585296;-0.0020855638570375476
7.908257425478103e-05;-0.00035088449897069146;0.002668795183429102;-0.0017233737564349577;0.00033165798693185765;-0.0006739634011810053;0.0018976983796143974;0.00043474067486757087;0.0003882613920479895;-0.00013876080587564766;-0.0025262355045315823;-0.000813841920786617;0.0010176631645583754;-0.0019628830242195304
